2019/05/24 10:20:11 [error] 6#6: *1 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "0.0.0.0:32815"
2019/05/24 11:01:07 [error] 6#6: *1 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "0.0.0.0:32816"
2019/05/24 11:05:46 [error] 8#8: *1 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "0.0.0.0:32819"
2019/05/24 11:11:33 [error] 6#6: *1 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "0.0.0.0:32821"
2019/05/24 11:18:54 [error] 6#6: *1 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "0.0.0.0"
2019/05/24 11:18:59 [error] 6#6: *3 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2019/05/24 11:19:09 [error] 6#6: *5 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1"
2019/05/24 11:20:19 [error] 6#6: *7 open() "/srv/http/favicon.ico" failed (2: No such file or directory), client: 172.20.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1"
2019/06/27 11:16:12 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:13 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:13 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:13 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:14 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:14 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:14 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:14 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:15 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:15 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:15 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:16:33 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:19:38 [error] 7#7: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "localhost"
2019/06/27 11:19:38 [error] 7#7: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.21.0.2:8080/favicon.ico", host: "localhost"
2019/06/27 11:19:48 [error] 7#7: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "localhost"
2019/06/27 11:19:52 [error] 7#7: *18 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/06/27 11:31:14 [error] 7#7: *20 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.21.0.2:8080/", host: "127.0.0.1"
2019/07/06 19:58:59 [error] 7#7: *2029 upstream prematurely closed connection while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /competence/ HTTP/1.1", upstream: "http://172.21.0.3:5000/competence/", host: "localhost:8080"
